# RAYS OF BELIEF LIMITED Corporate Identity Number : U85110DL2017PLC322623  REGISTERED OFFICE CORPORAT[...]

## **RAYS OF BELIEF LIMITED**

#### **Issue related ter m s**

9
|  Term  |  Description  |
|:---|:---|
|  | (including Anchor Investors), subject to valid Bids being received at or above the Issue Price or the  Anchor Investor Issue Price, as applicable  |
| “Qualified  Institutional  Buyer(s)” or “QIB Bidders” or  “QIBs” | A qualified institutional buyer as defined under Regulation 2(1)(ss) of the SEBI ICDR Regulations  |
| “Red Herring Prospectus” or  “RHP”  | The red herring prospectus for the Issue to be issued by our Company in accordance with the Section  32 of the Companies Act, 2013 and the SEBI ICDR Regulations which will not have complete  particulars of the Issue Price, including any addenda or corrigenda thereto. The Red Herring  Prospectus will be filed with the RoC at least three Working Days before the Bid/Issue Opening Date  and will become the Prospectus after filing with the RoC after the Pricing Date, including any  addenda or corrigenda thereto  |
| “Refund Account(s)”  | The account opened with the Refund Bank from which refunds, if any, of the whole or part of the  Bid Amount shall be made to Anchor Investors  |
| “Refund Bank(s)”  | The bank which is a clearing member registered with SEBI under the SEBI (Bankers to an Issue)  Regulations, 1994, as amended from time to time, with whom the Refund Account(s) will be opened,  in this case being [- ]  |
| “Registered Brokers”  | Stock brokers registered with SEBI under the Securities and Exchange Board of India (Stock  Brokers) Regulations, 1992 and stock exchanges having nationwide terminals, other than the  members of the Syndicate, and eligible to procure Bids in terms of circular number no.  CIR/CFD/14/2012 dated October 04, 2012 and the UPI Circulars, issued by SEBI  |
| “Registrar Agreement”  | The agreement dated August 16, 2025, entered into among our Company and the Registrar to the  Issue in relation to the responsibilities and obligations of the Registrar to the Issue pertaining to the  Issue  |
| “Registrar and Share Transfer  Agents” or “RTAs”  | Registrar and share transfer agents registered with SEBI and eligible to procure Bids from relevant  Bidders at the Designated RTA Locations in terms of circular no. SEBI/HO/MIRSD/POD- 1/P/CIR/2023/70 dated May 17, 2023, issued by SEBI as per the list available on the websites of BSE  and NSE, and the UPI Circulars  |
| “Registrar to the Issue” or  “Registrar”  | KFin Technologies Limited  |
| “Retail Individual Bidders” or  “RIBs”  | Individual Bidders who have Bid for Equity Shares for an amount of not more than ₹ 200,000 in any  of the bidding options in the Issue (including HUFs applying through the  karta  and Eligible NRIs)  |
| “Retail Portion”  | Portion of the Issue being not more than 10% of the Issue, consisting of [- ] Equity Shares, which  shall be available for allocation to Retail Individual Bidders in accordance with the SEBI ICDR  Regulations, subject to valid bids being received at or above the Issue Price.  |
| “Revision Form”  | Form used by the Bidders to modify the quantity of the Equity Shares or the Bid Amount in any of  their ASBA Form(s) or any previous Revision Form(s), as applicable. QIB Bidding in the QIB  Portion and Non-Institutional Bidders in the Non-Institutional Portion are not allowed to withdraw  or lower their Bids (in terms of quantity of Equity Shares or the Bid Amount) at any stage. Retail  Individual Bidders Bidding in the Retail Portion can revise their Bids during the Bid/Issue Period and  withdraw their Bids until Bid/Issue Closing Date.  |
| “Self-Certified  Syndicate  Banks” or “SCSBs”  | The banks registered with SEBI, offering services: (a) in relation to ASBA (other than using the UPI  Mechanism),  a  list  of  which  is  available  on  the  website  of  SEBI  at [https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=34](https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=34)  and [https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=35](https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=35)  as  applicable or such other website as may be prescribed by SEBI from time to time; and (b) in relation  to ASBA (using the UPI Mechanism), a list of which is available on the website of SEBI at  https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=40, or such  other website as may be prescribed by SEBI from time to time.  Applications through UPI in the Issue can be made only through the SCSBs mobile applications  (apps) whose name appears on the SEBI website. A list of SCSBs and mobile application, which, are  live for applying in public issues using UPI Mechanism is provided as Annexure ‘A’ to the SEBI  circular no. SEBI/HO/CFD/DIL2/CIR/P/2019/85 dated July 26, 2019 and SEBI Circular No.  SEBI/HO/CFD/DIL2/CIR/P/2022/45 dated April 05, 2022, UPI Bidders may apply through the  SCSBs and mobile applications whose names appears on the website of the SEBI  (https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=4 0) and  (https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=43)  respectively, as updated from time to time. A list of SCSBs and mobile applications, which are live  for applying in public issues using UPI mechanism is provided as ‘Annexure A’ for the SEBI circular  number SEBI/HO/CFD/DIL2/CIR/P/2019/85 dated July 26, 2019 |
