# RAYS OF BELIEF LIMITED Corporate Identity Number : U85110DL2017PLC322623  REGISTERED OFFICE CORPORAT[...]

## **5. Inorganic Growth and General corporate purposes**

#### **Table 5: Causes of Neurodevelopmental Disorders**
|  Category  |  Factors  |  Details  |
|:---|:---|:---|
| Genetic Factors  | Inherited Genetic  Mutations | Some NDDs are due to inherited genetic mutations, e.g., Fragile X syndrome  linked to mutations in the FMR1 gene.  |
| Genetic Factors  | Spontaneous  Mutations  | New genetic changes occurring during conception, not inherited from parents,  e.g., autism spectrum disorder (ASD).  |
| Prenatal and  Perinatal  Factors | Prenatal Exposure  | Exposure to harmful substances like alcohol, drugs (e.g., cocaine,  methamphetamine), and certain medications (e.g., anticonvulsants) during  pregnancy can affect brain development. |
| Prenatal and  Perinatal  Factors | Infections  | Maternal infections such as rubella or Zika virus during pregnancy can impact  fetal brain development.  |
| Prenatal and  Perinatal  Factors | Maternal Health  | Conditions like untreated thyroid disorders, diabetes, and malnutrition in the  mother can contribute to the risk of NDDs.  |
| Prenatal and  Perinatal  Factors | Birth Complications  | Issues like premature birth, low birth weight, and oxygen deprivation during  delivery can affect brain development.  |
| Environmental  Factors  | Toxins and  Contaminants  | Exposure to environmental toxins such as lead, pesticides, and polychlorinated  biphenyls (PCBs) can influence neurodevelopment.  |
| Environmental  Factors  | Early Childhood  Environment | Quality of early childhood care, including nutrition, emotional care, and  exposure to stressors, plays a significant role in neurodevelopment.  |
