# RAYS OF BELIEF LIMITED Corporate Identity Number : U85110DL2017PLC322623  REGISTERED OFFICE CORPORAT[...]

## **RAYS OF BELIEF LIMITED**

#### **Issue related ter m s**

6
|  Term  |  Description  |
|:---|:---|
| “Cap Price”  | The higher end of the Price Band, subject to any revision thereto, above which the Issue Price and  Anchor Investor Issue Price will not be finalized and above which no Bids will be accepted. The Cap  Price shall be at least 105% of the Floor Price and shall not exceed 120% of the Floor Price  |
| “Cash Escrow and Sponsor  Bank(s) Agreement”  | The agreement dated [- ] into among our Company, the Syndicate Members, the Registrar to the  Issue, the BRLM, the Syndicate Members and the Bankers to the Issue for, among other things,  collection of the Bid Amounts from Anchor Investors, transfer of funds to the Public Issue Account(s)  and where applicable, remitting refunds of the amounts collected from Bidders, on the terms and  conditions thereof  |
| “Client ID”  | Client identification number maintained with one of the Depositories in relation to a dematerialised  account  |
| “Collecting  Depository  Participant” or “CDP” | A depository participant, as defined under the Depositories Act and registered with SEBI and who is  eligible to procure Bids at the Designated CDP Locations in terms of circular no.  CIR/CFD/POLICYCELL/11/2015 dated November 10, 2015 and the UPI Circulars, issued by SEBI  as per the list available on the websites of the Stock Exchanges, as updated from time to time  |
| “Cut-off Price”  | The Issue Price, finalised by our Company, in consultation with the BRLM, which shall be any price  within the Price Band. Only Retail Individual Bidders Bidding in the Retail Portion are entitled to  Bid at the Cut- off Price. No other category of Bidders is entitled to Bid at the Cut-off Price  |
| “Demographic Details”  | The demographic details of the Bidders including the Bidder’s address, name of the Bidder’s  father/husband, investor status, occupation, bank account details and UPI ID, as applicable  |
| “Designated Branches”  | Such branches of the SCSBs which will collect the ASBA Forms used by the ASBA Bidders and a  list  of  which  is  available  on  the  website  of  the  SEBI  at [www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognised=yes and updated from time to time, ](http://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognised=yes) or any such other website as may be prescribed by the SEBI  |
| “Designated CDP Location(s)”  | Such centres of the CDPs where ASBA Bidders can submit the ASBA Forms.  The details of such Designated CDP Locations, along with the names and contact details of the CDPs  eligible to accept ASBA Forms are available on the respective websites of the Stock Exchanges  (www.bseindia.com and www.nseindia.com) and updated from time to time  |
| “Designated Date”  | The date on which funds are transferred by the Escrow Collection Bank(s) from the Escrow  Account(s) to the Public Issue Account(s) or the Refund Account(s), as the case may be, and/or the  instructions are issued to the SCSBs (in case of UPI Bidders using the UPI Mechanism, instructions  issued through the Sponsor Bank(s)) for the transfer of amounts blocked by the SCSBs in the ASBA  Accounts to the Public Issue Account(s), in terms of the Red Herring Prospectus and the Prospectus,  following which Equity Shares will be Allotted in the Issue  |
| “Designated Intermediaries”  | Collectively, the members of the Syndicate, sub-Syndicate or agents, SCSBs (other than in relation  to UPI Bidders using the UPI Mechanism), Registered Brokers, CDPs and RTAs, who are authorised  to collect. Bid cum Application Forms from the relevant Bidders, in relation to the Issue.  In relation to ASBA Forms submitted by Retail Individual Bidders by authorising an SCSB with an  application size of up to ₹ 0.50 million (not using the UPI Mechanism) to block the Bid Amount in  the ASBA Account, Designated Intermediaries shall mean SCSBs. In relation to ASBA Forms  submitted by UPI Bidders where the Bid Amount will be blocked upon acceptance of UPI Mandate  Request by such UPI Bidder, as the case may be, using the UPI Mechanism, Designated  Intermediaries shall mean Syndicate, sub-Syndicate/agents, Registered Brokers, CDPs, SCSBs and  RTAs.  In relation to ASBA Forms submitted by QIBs and NIBs (not using the UPI Mechanism), Designated  Intermediaries shall mean SCSBs, Syndicate, sub- syndicate, Registered Brokers, CDPs and RTAs |
| “Designated RTA Locations”  | Such locations of the RTAs where Bidders can submit the ASBA Forms to the RTAs. The details of  such Designated RTA Locations, along with names and contact details of the RTAs eligible to accept  ASBA Forms are available on the respective websites of the Stock Exchanges (www.bseindia.com  and www.nseindia.com) and updated from time to time  |
| “Designated SCSB Branches”  | Such branches of the SCSBs which shall collect the ASBA Forms, a list of which is available on the  website of SEBI at [http://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognised=yes](http://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognised=yes)  or at  such other website as may be prescribed by SEBI from time to time  |
| “Designated Stoc k  Exchange”  | [- ]  |
| “Eligible FPIs”  | FPIs that are eligible to participate in the Issue in terms of applicable law and from such jurisdictions  outside India where it is not unlawful to make an Issue/ invitation under the Issue and in relation to  |
