# RAYS OF BELIEF LIMITED Corporate Identity Number : U85110DL2017PLC322623  REGISTERED OFFICE CORPORAT[...]

## **5. Support Groups and Coaching**

#### **Major events and milestones of our Company**

The table below sets forth the key events and milestones in the history of our Company:
|  Financial Year  |  Major events and milestones  |
|:---|:---|
| 2017-18  | Incorporated as  Rays of Belief Private Limited .  |
| 2018-19  | Received the Zero Project Award under the category of  “ Breaking the Barriers ”  at the United Nations  headquarters in Vienna, Austria. Our Founder and CEO, Nitin Bindlish, was invited to speak and  delivered a keynote at the United Nations.  |
| 2020-21  | Introduced the  “ Pay As You Like ”  therapy model, allowing parents to access therapy services for as low  as ₹1 during the COVID period. Also launched  Mind Belief , a corporate partnership program offering  comprehensive mental health support to employees. Established the  Mom’s Belief Pediatric Hearing  Centre , a specialized facility offering advanced pediatric hearing care.  |
| 2021-22  | Launched  MB School of Moms , a structured parent training program aimed at empowering mothers with  the knowledge and skills to actively support their child’s development and therapy.  |
| 2022-23  | Initiated  Partnership Centres , a strategic collaboration with pediatricians to aid the launch of new centres.  Introduced  Mom's Belief Care , an insurance plan designed specifically for parents of children with special  needs. Launched 19 new centres across various locations. Formed a partnership agreement with  The  LEGO Foundation . Rolled out the  Family Support Program (FSP)  to further assist families of children  with developmental needs. |
| 2023-24  | Launched over 20 new centres. Introduced  Early Intervention Centres (EICs)  to expand outreach for early  developmental support.  |
| 2024-25  | Launched 48 new centres across various locations. Converted from a private limited company to a public  limited company. Accordingly, the name was changed from  Rays of Belief Private Limited  to  Rays of  Belief Limited .  |
| 2025-26  | Made the Company’s first overseas investment in the United States, resulting in the formation of a wholly  owned subsidiary.  |
