# YASHHTEJ INDUSTRIES (INDIA) LIMITED  CIN: U74999MH2018PLC310828  REGISTERED &   CORP O RA T E  O FFI[...]

## **Table of Contents**

#### **SECTION I: GENERAL**

##### **ISSUE RELATED TERMS**

|  TERM  |  DESCRIPTION  |
|:---|:---|
| Specified Locations  | Collection Centers where the SCSBs shall accept application forms, a list [of which is available on the website of the SEBI (www.sebi.gov.in) and ](http://www.sebi.gov.in/) updated from time to time.  |
| Specified Securities  | Equity shares that are being offered through this Prospectus.  |
| Sponsor Bank  | Kotak Mahindra Bank Limited, registered with SEBI which is appointed  by our Company to act as a conduit between the Stock Exchanges and  NPCI in order to push the mandate collect requests and / or payment  instructions of the individual investors using the UPI Mechanism and  carry out other responsibilities, in terms of the UPI Circulars  |
| Transaction Registration Slip  /TRS | The slip or document issued by a member of the Syndicate or an SCSB  (only on demand), as the case may be, to the applicants, as proof of  registration of the Application.  |
| UPI  | Unified Payments Interface (UPI) is an instant payment system developed  by the NPCI. It enables merging several banking features, seamless fund  routing & merchant payments into one hood. UPI allows instant transfer  of money between any two persons’ bank accounts using a payment  address which uniquely identifies a person’s bank a/c.  |
| UPI Applicants  | Collectively, individual investors applying as Individual Inventors in the  Individual Inventors Portion, and Other than individual investors  applying with an application size of more than ₹ 200,000/- and up to ₹  500,000/- in the Other than Individual Inventors Investors category and  applying under the UPI Mechanism.  Pursuant to Circular no. SEBI/HO/CFD/DIL2/P/CIR/P/2022/45 dated  April 5, 2022 issued by SEBI, all individual investors applying in public  issues where the application amount is up to ₹ 500,000/- shall use UPI  and shall provide their UPI ID in the application form submitted with: (i)  a stock broker registered with a recognized stock exchange (whose name  is mentioned on the website of the stock exchange as eligible for such  activity), (ii) a depository participant (whose name is mentioned on the  website of the stock exchange as eligible for such activity), and (iii) a  registrar to an issue and share transfer agent (whose name is mentioned  on the website of the stock exchange as eligible for such activity) |
| UPI Circulars  | The bidding mechanism that may be used by an RII to make an  Application in the Issue in accordance with SEBI circular  (SEBI/HO/CFD/DIL2/CIR/P/2018/138) dated November 01,2018 read  with SEBI circular (SEBI/HO/CFD/DIL2/CIR/P/2019/50) dated April  3, 2019,SEBI circular (SEBI/HO/CFD/DIL2/CIR/P/2019/76) dated June  28, 2019 and SEBI Circular(SEBI/HO/CFD/DCR2/CIR/P/2019/133)  dated  November  08,  2019,  the  circular  no.  SEBI/HO/CFD/DIL2/CIR/P/2020/50 dated March 30, 2020, the circular  no. SEBI/HO/CFD/DIL2/CIR/P/2021/2480/1/M dated March 16, 2021,  circular no. SEBI/HO/CFD/DIL2/P/CIR/2021/570 dated June 02, 2021,  SEBI/HO/CFD/DIL2/P/CIR/P/2022/45 dated April 5, 2022, SEBI  circular no SEBI/HO/CFD/DIL2/P/CIR/2022/75 dated May 30, 2022,  SEBI circular no SEBI/HO/CFD/PoD-2/P/CIR/2023/00094 dated June  21, 2023 and SEBI/HO/CFD/TPD1/CIR/P/2023/140 dated August 9,  2023 any subsequent circulars or notifications issued by SEBI in this  regard and any subsequent circulars or notifications issued by SEBI in  this regard.  |
| UPI ID  | ID created on the UPI for single-window mobile payment system  developed by the NPCI  |
| UPI Mandate Request  | A request (intimating the RII by way of a notification on the UPI  application and by way of a SMS directing the RII to such UPI  application) to the RII initiated by the Sponsor Bank to authorize blocking  of funds on the UPI application equivalent to Application Amount and  subsequent debit of funds in case of Allotment. In accordance with SEBI  Circular No. SEBI/HO/CFD/DIL2/CIR/P/2019/76 dated June 28, 2019  and SEBI Circular No. SEBI/HO/CFD/DIL2/CIR/P/2019/85 da ted July  26, 2019, Individual Investors, using the UPI Mechanism may apply  through the SCSBs and mobile applications whose names appears on the  |
11
